book,author,recommended_by,podcast_number
The Hero with a Thousand Faces,Joseph Campbell,Joseph Campbell / Bill Moyers,456
The Masks of God,Joseph Campbell,Joseph Campbell / Bill Moyers,456
The Myth of the Birth of the Hero,Otto Rank,Joseph Campbell / Bill Moyers,456
The Odyssey,Homer,Joseph Campbell / Bill Moyers,456
The Myth Of Prometheus,,Joseph Campbell / Bill Moyers,456
Treasure Island,Robert Louis Stevenson,Joseph Campbell / Bill Moyers,456
The Qur'an,,Joseph Campbell / Bill Moyers,456
Morality: Restoring the Common Good in Divided Times,Jonathan Sacks,Jonathan Sacks,455
Not in God's Name,Jonathan Sacks,Jonathan Sacks,455
Genesis: The Book of Beginnings,Jonathan Sacks,Jonathan Sacks,455
To Heal a Fractured World,Jonathan Sacks,Jonathan Sacks,455
Lessons in Leadership,Jonathan Sacks,Jonathan Sacks,455
"The Great Partnership: Science, Religion, and the Search for Meaning",Jonathan Sacks,Jonathan Sacks,455
Essays on Ethics,Jonathan Sacks,Jonathan Sacks,455
Just Six Numbers,Martin Rees,Jonathan Sacks,455
Book of Psalms,King David & Others,Jonathan Sacks,455
The Choice,Dr. Edith Eva Eger,Jonathan Sacks,455
Man's Search for Meaning,Viktor E. Frankl,Jonathan Sacks,455
The Dignity of Difference,Jonathan Sacks,Jonathan Sacks,455
The Origin of Species,Charles Darwin,Jonathan Sacks,455
The Purpose Driven Life,Rick Warren,Jonathan Sacks,455
Anna Karenina,Leo Tolstoy,Jonathan Sacks,455
The Descent of Man,Charles Darwin,Jonathan Sacks,455
The Gift of Fear,Gavin de Becker,Whitney Cummings,454
Getting the Love You Want,Harville Hendrix,Whitney Cummings,454
Codependent No More,Melody Beattie,Whitney Cummings,454
Spark,John J. Ratey MD,Kevin Rose,453
The Surrender Experiment,Michael A. Singer,Kevin Rose,453
Alice's Adventures in Wonderland,Lewis Carroll,Kevin Rose,453
Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love,Amir Levine & Rachel Heller,Sia,452
Reminiscences of a Stock Operator,Edwin Lefevre,Mike Novogratz,451
Confessions,Saint Augustine,Mike Novogratz,451
The Fear Book,Cheri Huber,Neil Strauss,450
Be the Person You Want to Find,Cheri Huber,Neil Strauss,450
Facing Codependence,Pia Mellody,Neil Strauss,450
Facing Love Addiction,Pia Mellody,Neil Strauss,450
Silently Seduced,Kenneth M. Adams,Neil Strauss,450
Under Saturn's Shadow,James Hollis,Neil Strauss,450
The Eden Project,James Hollis,Neil Strauss,450
Chess for Success,Maurice Gordon Ashley,Maurice Ashley,449
Aikido and the Dynamic Sphere,Adele Westbrook & Oscar Ratti,Maurice Ashley,449
Play Winning Chess,Yasser Seirawan,Maurice Ashley,449
Winning Chess Openings,Yasser Seirawan,Maurice Ashley,449
Winning Chess Strategies,Yasser Seirawan,Maurice Ashley,449
Winning Chess Tactics,Yasser Seirawan,Maurice Ashley,449
Winning Chess Combinations,Yasser Seirawan,Maurice Ashley,449
Winning Chess Brilliancies,Yasser Seirawan,Maurice Ashley,449
I Never Had It Made,Jackie Robinson,Maurice Ashley,449
My Bondage and My Freedom,Frederick Douglass,Maurice Ashley,449
Frederick Douglass: Prophet of Freedom,David Blight,Maurice Ashley,449
Harriet Tubman,Catherine Clinton,Maurice Ashley,449
Democracy in America,Alexis de Tocqueville,Maurice Ashley,449
Passages,Gail Sheehy,Maurice Ashley,449
Mastery,George Leonard,Maurice Ashley,449
The Half-Life of Facts,Samuel Arbesman,Maurice Ashley,449
Startup Communities,Brad Feld,Brad Feld,448
The Startup Community Way,Brad Feld and Ian Hathaway,Brad Feld,448
Reboot,Jerry Colonna,Brad Feld,448
The Philosophy of Cognitive-Behavioural Therapy (CBT),Donald Robertson,Brad Feld,448
Snow Crash,Neal Stephenson,Brad Feld,448
Neuromancer,William Gibson,Brad Feld,448
The Hyperion Cantos 4-Book Bundle,Dan Simmons,Brad Feld,448
The Canterbury Tales,Geoffrey Chaucer,Brad Feld,448
How Long 'til Black Future Month?,N. K. Jemisin,Brad Feld,448
Veil,Eliot Peper,Brad Feld,448
Kill Chain,William Hertling,Brad Feld,448
Change Agent,Daniel Suarez,Brad Feld,448
Dune,Frank Herbert,Brad Feld,448
The End of October,Lawrence Wright,Brad Feld,448
Stories of Your Life and Others,Ted Chiang,Brad Feld,448
Exchalation,Ted Chiang,Brad Feld,448
The Paper Menagerie and Other Stories,Ken Liu,Brad Feld,448
Topophilia,Yi-Fu Tuan,Brad Feld,448
Complexity,M. Mitchell Waldrop,Brad Feld,448
How Will You Measure Your Life?,Clayton M. Christensen,Ann Miura-Ko,447
The Dovekeepers,Alice Hoffman,Ann Miura-Ko,447
The Righteous Mind,Jonathan Haidt,Ann Miura-Ko,447
Start Something That Matters,Blake Mycoskie,Blake Mycoskie,446
Rediscovering Life,Anthony De Mello,Blake Mycoskie,446
You Can Change Your Life,Tim Laurence,Blake Mycoskie,446
Conscious Uncoupling,Katherine Woodward Thomas,Blake Mycoskie,446
The Way of the Superior Man,David Deida,Blake Mycoskie,446
How the Universe Got Its Spots,Janna Levin,Janna Levin,445
A Madman Dreams of Turing Machines,Janna Levin,Janna Levin,445
Black Hole Blues and Other Songs from Outer Space,Janna Levin,Janna Levin,445
Black Hole Survival Guide,Janna Levin,Janna Levin,445
Never Let Me Go,Kazuo Ishiguro,Janna Levin,445
White Noise,Don DeLillo,Janna Levin,445
The Road,Cormac McCarthy,Janna Levin,445
Exhalation,Ted Chiang,Janna Levin,445
Stories of Your Life and Others,Ted Chiang,Janna Levin,445
Draft No. 4,John McPhee,Janna Levin,445
Levels of the Game,John McPhee,Janna Levin,445
Consider the Lobster,David Foster Wallace,Janna Levin,445
"Little, Big",John Crowley,Janna Levin,445
Seven Brief Lessons on Physics,Carlo Rovelli,Janna Levin,445
The Order of Time,Carlo Rovelli,Janna Levin,445
Until the End of Time,Brian Greene,Janna Levin,445
Book of Revelation (Apocalypse),John the Apostle,Janna Levin,445
The Second Mountain,David Brooks,Hugh Jackman,444
Here is New York,E.B. White,Hugh Jackman,444
This Is Water,David Foster Wallace,Hugh Jackman,444
The Overstory,Richard Powers,Hugh Jackman,444
Liar's Poker,Michael Lewis,David Yarrow,443
Fooled by Randomness,Nassim Nicholas Taleb,David Yarrow,443
More Money Than God,Sebastian Mallaby,David Yarrow,443
Harry Potter Series,J.K. Rowling,David Yarrow,443
"The Prisoner: In Search of Lost Time, Volume 5",Marcel Proust,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Mort: A Novel of Discworld,Terry Pratchett,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Logic: The Theory of Inquiry,John Dewey,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Unbearable Lightness of Being,Milan Kundera,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Man's Search for Meaning,Viktor E. Frankl,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Rational Optimist,Matt Ridley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Better Angels of Our Nature,Steven Pinker,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Sapiens,Yuval Noah Harari,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Poor Charlie's Almanack,Charlie Munger,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Modernist Cuisine,Nathan Myhrvold,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Wild,Cheryl Strayed,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Tao Te Ching,Lao Tzu,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Memorable Quotations: French Writers of the Past,Carol A. Dingle,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Total Freedom,Jiddu Krishnamurti,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Genome,Matt Ridley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Red Queen,Matt Ridley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Origins of Virtue,Matt Ridley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
The Rational Optimist,Matt Ridley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Quiet Power,Susan Cain,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Quiet,Susan Cain,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Homo Deus,Yuval Noah Harari,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
Brave New World,Aldous Huxley,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
1984,George Orwell,"Naval Ravikant, Susan Cain, and Yuval Noah Harari",442
How to Win Friends and Influence People,Dale Carnegie,John Paul DeJoria,441
Sapiens,Yuval Noah Harari,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Poor Charlie's Almanack,Charles Munger,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Influence,Robert Cialdini,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Man's Search for Meaning,Viktor E. Frankl,"Derek Sivers, BJ Miller, and Christopher Sommer",439
The Power Broker,Robert A. Caro,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Daily Rituals,Mason Currey,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Siddhartha,Hermann Hesse,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Seeking Wisdom,Peter Bevelin,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Awaken the Giant Within,Tony Robbins,"Derek Sivers, BJ Miller, and Christopher Sommer",439
"Thinking, Fast and Slow",Daniel Kahneman,"Derek Sivers, BJ Miller, and Christopher Sommer",439
Uncle Tom's Cabin,Harriet Beecher Stowe,Coach George Raveling,438
The 48 Laws of Power,Robert Greene,Coach George Raveling,438
Servant Leadership,Robert K. Greenleaf,Coach George Raveling,438
What They Don't Teach You at Harvard Business School,Mark H. McCormack,Coach George Raveling,438
The True Believer,Eric Hoffer,Coach George Raveling,438
Tell Me Who You Are,Winona Guo & Priya Vulchi,Coach George Raveling,438
The Other America,Michael Harrington,Coach George Raveling,438
Hell and Other Destinations,Madeleine Albright,Secretary Madeleine Albright,437
Madam Secretary,Madeleine Albright,Secretary Madeleine Albright,437
The Mighty and the Almighty,Madeleine Albright,Secretary Madeleine Albright,437
Memo to the President Elect,Madeleine Albright,Secretary Madeleine Albright,437
Read My Pins,Madeleine Albright,Secretary Madeleine Albright,437
Prague Winter,Madeleine Albright,Secretary Madeleine Albright,437
Fascism,Madeleine Albright,Secretary Madeleine Albright,437
Democracy in America,Alexis de Tocqueville,Secretary Madeleine Albright,437
War and Peace,Leo Tolstoy,Secretary Madeleine Albright,437
The Art of the Impossible,Vaclav Havel,Secretary Madeleine Albright,437
The Federalist,Alexander Hamilton,Secretary Madeleine Albright,437
Letter to a Hostage,Antoine De Saint-Exupéry,Maria Popova,436
Love and Saint Augustine,Hannah Arendt,Maria Popova,436
A Madman Dreams of Turing Machines,Janna Levin,Maria Popova,436
Remembrance of Things,Marcel Proust,Tyler Cowen,436
Timeless Flight,Johnny Rogan,Tyler Cowen,436
Uncle Tom's Cabin,Harriet Beecher Stowe,Tyler Cowen,436
Ultralearning,Scott Young,Tyler Cowen,436
The Decision,Kevin Hart,Kevin Hart,435
The 15 Commitments of Conscious Leadership,"Jim Dethmer, Diana Chapman, & Kaley Warner Klemp",Jim Dethmer,434
Conscious Loving,Gay Hendricks & Kathlyn Hendricks,Jim Dethmer,434
The Hero's Journey,Joseph Campbell,Jim Dethmer,434
The Hero with a Thousand Faces,Joseph Campbell,Jim Dethmer,434
The Different Drum,M. Scott Peck,Jim Dethmer,434
People of the Lie,M. Scott Peck,Jim Dethmer,434
The Road Less Traveled,M. Scott Peck,Jim Dethmer,434
Open Borders: The Science and Ethics of Immigration,Bryan Caplan and Zach Weinersmith,Kevin Kelly,432
How Buildings Learn,Stewart Brand,Kevin Kelly,432
The Innovator's Dilemma,Clayton M. Cristensen,Kevin Kelly,432
Finite and Infinite Games,James P. Carse,Kevin Kelly,432
Mastering the Market Cycle,Howard Marks,Howard Marks,431
The Most Important Thing,Howard Marks,Howard Marks,431
Outliers,Malcolm Gladwell,Howard Marks,431
Thinking in Bets,Annie Duke,Howard Marks,431
Decisions Under Uncertainty,Jr. C. Jackson Grayson,Howard Marks,431
City of Girls,Elizabeth Gilbert,Elizabeth Gilbert,430
Big Magic,Elizabeth Gilbert,Elizabeth Gilbert,430
"Eat, Pray, Love",Elizabeth Gilbert,Elizabeth Gilbert,430
The Art of Memoir,Mary Karr,Elizabeth Gilbert,430
Wolf Hall,Hillary Mantel,Elizabeth Gilbert,430
"Little, Big",John Crowley,Elizabeth Gilbert,430
Meditations,Marcus Aurelius,Elizabeth Gilbert,430
"Diana, Herself",Martha Beck,Elizabeth Gilbert,430
The Artist's Way,Julia Cameron,Elizabeth Gilbert,430
The Artist's Date Book,Julia Cameron,Elizabeth Gilbert,430
Anna Karenina,Leo Tolstoy,Elizabeth Gilbert,430
Madame Bovary,Gustave Flaubert,Elizabeth Gilbert,430
Hedda Gabler,Henrik Ibsen,Elizabeth Gilbert,430
Daisy Miller & Other Stories,Henry James,Elizabeth Gilbert,430
Dune,Frank Herbert,Nick Kokonas,429
Fooled by Randomness,Nassim Nicholas Taleb,Nick Kokonas,429
The Black Swan,Nassim Nicholas Taleb,Nick Kokonas,429
Skin in the Game,Nassim Nicholas Taleb,Nick Kokonas,429
Harry Potter,J.K. Rowling,Jim Jefferies,428
The Fifth Risk,Michael Lewis,Michael Lewis,427
Liar's Poker,Michael Lewis,Michael Lewis,427
Moneyball,Michael Lewis,Michael Lewis,427
The Blind Side,Michael Lewis,Michael Lewis,427
The Big Short,Michael Lewis,Michael Lewis,427
The Undoing Project,Michael Lewis,Michael Lewis,427
Johnny Tremain,Esther Forbes,Michael Lewis,427
The Elements of Style,William Strunk & E.B. White,Michael Lewis,427
The Education of Henry Adams,Henry Adams,Michael Lewis,427
The Confessions,Jean-Jacques Rousseau,Michael Lewis,427
Draft No. 4,John McPhee,Michael Lewis,427
A Sense of Where You Are,John McPhee,Michael Lewis,427
The Inner Game of Tennis,W. Timothy Gallwey,Michael Lewis,427
The Long Ships,Frans G. Bengtsson,Michael Lewis,427
A Gentleman in Moscow,Amor Towles,Michael Lewis,427
Eloise,Kay Thompson,Michael Lewis,427
Unreliable Memoirs,Clive James,Michael Lewis,427
My Family and Other Animals,Gerald Durrell,Michael Lewis,427
The Innocent Anthropologist,Nigel Barley,Michael Lewis,427
Already Free,Bruce Tift,Kevin Rose,426
The Surrender Experiment,Michael Singer,Kevin Rose,426
Remote,Jason Fried,Kevin Rose,426
The Bogleheads' Guide to Investing,Taylor Larimore,Kevin Rose,426
The Little Book That Still Beats the Market,Joel Greenblatt,Kevin Rose,426
You Can Be a Stock Market Genius,Joel Greenblatt,Kevin Rose,426
Exhalation,Ted Chiang,Kevin Rose,426
Dune,Frank Herbert,Kevin Rose,426
Shogun,James Clavell,Kevin Rose,426
"Little, Big",John Crowley,Kevin Rose,426
Cat's Cradle,Kurt Vonnegut,Kevin Rose,426
The Baron in the Trees,Italo Calvino,Kevin Rose,426
A Game of Thrones,George R. R. Martin,Kevin Rose,426
Zorba the Greek,Nikos Kazantzakis,Kevin Rose,426
How to Stop Worrying and Start Living,Dale Carnegie,Kevin Rose,426
Why We Sleep,Matthew Walker,Kevin Rose,426
The Lessons of History,Will Durant,Kevin Rose,426
Purple Cow,Seth Godin,Cindy Eckert,425
A Curious Mind,Brian Graver and Charles Fishman,Cindy Eckert,425
Masters of Doom,David Kushner,Alexis Ohanian,425
Why We Sleep,Matthew Walker,Alexis Ohanian,425
The Artist's Way,Julia Cameron,Brian Koppelman,424
Making Movies,Sidney Lumet,Brian Koppelman,424
"Sex, Lies, and Videotape Movie Edition Screenplay",Steven Soderbergh,Brian Koppelman,424
What I Talk About When I Talk About Running,Haruki Murakami,Brian Koppelman,424
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,Brian Koppelman,424
"Little, Big",John Crowley,Brian Koppelman,424
Exhalation,Ted Chiang,Brian Koppelman,424
Girl Decoded,Rana el Kaliouby,Rana el Kaliouby,423
The Obstacle Is the Way,Ryan Holiday,Rana el Kaliouby,423
The Namesake,Jhumpa Lahiri,Rana el Kaliouby,423
"Little, Big",John Crowley,Rana el Kaliouby,423
His Dark Materials,Philip Pullman,Rana el Kaliouby,423
Becoming,Michelle Obama,Rana el Kaliouby,423
Blind Artist,Gary J. Haun,Jane Goodall,421
The Paper Menagerie and Other Stories,Ken Liu,Matt Mullenweg,420
The Three-Body Problem,Cixin Liu,Matt Mullenweg,420
Sum: Tales from the Afterlives,David Eagleman,Matt Mullenweg,420
Foundation,Isaac Asimov,Matt Mullenweg,420
Becoming Wise,Krista Tippett,Matt Mullenweg,420
On Grief and Grieving,Elisabeth Kübler-Ross & David Kessler,Matt Mullenweg,420
When Breath Becomes Air,Paul Kalanithi,Matt Mullenweg,420
Why Buddhism is True,Robert Wright,Matt Mullenweg,420
Principles,Ray Dalio,Matt Mullenweg,420
Nonviolent Communication,Marshall Rosenberg,Matt Mullenweg,420
Remote,Jason Fried,Matt Mullenweg,420
On Writing Well,William Zinsser,Matt Mullenweg,420
Metaphors We Live By,George Lakoff & Mark Johnson,Matt Mullenweg,420
The Great Mental Models Volume 1,Shane Parrish,Matt Mullenweg,420
Poor Charlie's Almanack,Charles T. Munger,Matt Mullenweg,420
The World Is Sound,Joachim-Ernst Berendt,Matt Mullenweg,420
Conscious: A Brief Guide to the Fundamental Mystery of the Mind,Annaka Harris,Matt Mullenweg,420
Sapiens,Yuval Noah Harari,Matt Mullenweg,420
Homo Deus,Yuval Noah Harari,Matt Mullenweg,420
21 Lessons for the 21st Century,Yuval Noah Harari,Matt Mullenweg,420
Fooled by Randomness,Nassim Nicholas Taleb,Matt Mullenweg,420
The Black Swan,Nassim Nicholas Taleb,Matt Mullenweg,420
Faust,Johann Wolfgang Von Goethe,Ryan Holiday,419
The Bear,William Faulkner,Ryan Holiday,419
The Black Swan,Nassim Nicholas Taleb,Ryan Holiday,419
The 48 Laws of Power,Robert Greene,Ryan Holiday,419
Mastery,Robert Greene,Ryan Holiday,419
Meditations,Marcus Aurelius,Ryan Holiday,419
Fooled by Randomness,Nassim Nicholas Taleb,Ryan Holiday,419
Antifragile,Nassim Nicholas Taleb,Ryan Holiday,419
A Dance to the Music of Time,Anthony Powell,Esther Perel,418
Together: The Healing Power of Human Connection in a Sometimes Lonely World,Dr. Vivek H. Murthy,Dr. Vivek H. Murthy,417
Maybe You Should Talk to Someone,Lori Gottlieb,Lori Gottlieb,415
Man's Search for Meaning,Viktor E. Frankl,Lori Gottlieb,415
The Tennis Partner,Abraham Verghese,Lori Gottlieb,415
Cutting for Stone,Abraham Verghese,Lori Gottlieb,415
The Wise Heart,Jack Kornfield,Jack Kornfield,414
A Lamp in the Darkness,Jack Kornfield,Jack Kornfield,414
A Path with Heart,Jack Kornfield,Jack Kornfield,414
"After the Ecstasy, the Laundry",Jack Kornfield,Jack Kornfield,414
No Time Like the Present,Jack Kornfield,Jack Kornfield,414
Already Free,Bruce Tift,Jack Kornfield,414
"One Robe, One Bowl",Ryōkan,Jack Kornfield,414
Bringing Home the Dharma,Jack Kornfield,Jack Kornfield,414
How to Change Your Mind,Michael Pollan,Jack Kornfield,414
The Cosmic Game,Stanislav Grof,Jack Kornfield,414
Radical Acceptance,Tara Brach,Jack Kornfield,414
Stubborn Attachments,Tyler Cowen,Tyler Cowen,413
Big Business: A Love Letter to an American Anti-Hero,Tyler Cowen,Tyler Cowen,413
Average is Over,Tyler Cowen,Tyler Cowen,413
The Great Stagnation,Tyler Cowen,Tyler Cowen,413
Discover Your Inner Economist,Tyler Cowen,Tyler Cowen,413
The Western Canon,Harold Bloom,Tyler Cowen,413
Shakespeare: The Complete Collection,William Shakespeare,Tyler Cowen,413
The Henriade; With the Battle of Fontenoy,Voltaire,Tyler Cowen,413
Ulysses,James Joyce,Tyler Cowen,413
The Complacent Class,Tyler Cowen,Tyler Cowen,413
Station Eleven,Emily St. John Mandel,Tyler Cowen,413
Snow Crash,Neal Stephenson,Tyler Cowen,413
Crytonomicon,Neal Stephenson,Tyler Cowen,413
Anathem,Neal Stephenson,Tyler Cowen,413
The Odyssey,Homer,Tyler Cowen,413
The Andromeda Strain,Michael Crichton,Tyler Cowen,413
The Decameron,Giovanni Boccaccio,Tyler Cowen,413
Holy Bible,,Tyler Cowen,413
The Age of the Infovore,Tyler Cowen,Tyler Cowen,413
The Art of Learning,Josh Waitzkin,Josh Waitzkin,412
Books by Robert Kegan,Robert Kegan,Josh Waitzkin,412
The Expert at the Card Table,S. W. Erdnase,Richard Turner,411
Hallucinations,Oliver Sacks,Richard Turner,411
The Mind's Eye,Oliver Sacks,Richard Turner,411
Stillness is the Key,Ryan Holiday,Ryan Holiday,410
The Obstacle is the Way,Ryan Holiday,Ryan Holiday,410
Ego is the Enemy,Ryan Holiday,Ryan Holiday,410
The Daily Stoic,Ryan Holiday,Ryan Holiday,410
So Good They Can't Ignore You,Cal Newport,Ryan Holiday,410
Moral letters to Lucilius/Letter 18,Seneca,Ryan Holiday,410
More Money than God,Sebastian Mallaby,Ryan Holiday,410
Liar's Poker,Michael Lewis,Ryan Holiday,410
How to Measure Anything,Douglas Hubbard,Ryan Holiday,410
Bad Science,Ben Goldacre,Ryan Holiday,410
Think Twice,Michael Mauboussin,Ryan Holiday,410
We Feel Fine: An Almanac of Human Emotion,"Sep Kamvar, Jonathan Harris",Ryan Holiday,410
The Big Short,Michael Lewis,Ryan Holiday,410
The $12 Million Stuffed Shark,Don Thompson,Ryan Holiday,410
Essentialism,Greg McKeown,Ryan Holiday,410
Super Pumped,Mike Isaac,Ryan Holiday,410
Dare to Lead,Brené Brown,Brené Brown,409
Braving the Wilderness,Brené Brown,Brené Brown,409
Rising Strong,Brené Brown,Brené Brown,409
Daring Greatly,Brené Brown,Brené Brown,409
The Gifts of Imperfection,Brené Brown,Brené Brown,409
Already Free,Bruce Tift,Brené Brown,409
Radical Acceptance,Tara Brach,Brené Brown,409
The Body Keeps the Score,Bessel van der Kolk M.D.,Brené Brown,409
The Way of the Superior Man,David Deida,Kevin Rose,408
The 15 Commitments of Conscious Leadership,"Jim Dethmer, Diana Chapman, Kaley Klemp",Kevin Rose,408
Essentialism,Greg McKeown,Kevin Rose,408
The Untethered Soul,Michael Singer,Kevin Rose,408
The Surrender Experiment,Michael Singer,Kevin Rose,408
Already Free,Bruce Tift,Kevin Rose,408
Radical Acceptance,Tara Brach,Kevin Rose,408
Am I Being Too Subtle?,Sam Zell,Sam Zell,407
Team of Rivals,Doris Kearns Goodwin,Sam Zell,407
The Ride of a Lifetime,Bob Iger,Bog Iger,406
The Odyssey,Homer,Bog Iger,406
Don't Sweat the Small Stuff . . . and It's All Small Stuff,Richard Carlson,Bog Iger,406
From Russia with Love,Ian Fleming,Bog Iger,406
Goldfinger,Ian Fleming,Bog Iger,406
The Spy Who Loved Me,Ian Fleming,Bog Iger,406
You Only Live Twice,Ian Fleming,Bog Iger,406
Presto!: How I Made Over 100 Pounds Disappear and Other Magical Tales,Penn Jillette,Penn Jillette,405
"God, No!: Signs You May Already Be an Atheist and Other Magical Tales",Penn Jillette,Penn Jillette,405
The Art of Thought Reading,Joseph Dunniger,Penn Jillette,405
"Flim-Flam! Psychics, ESP, Unicorns, and Other Delusions",James Randi,Penn Jillette,405
The Artist's Way,Julia Cameron,Penn Jillette,405
On the Road,Jack Kerouac,Penn Jillette,405
Eat for Life,Joel Fuhrman,Penn Jillette,405
First Bite,Bee Wilson,Penn Jillette,405
"Surely You're Joking, Mr. Feynman!",Richard Feynman,Penn Jillette,405
The Scientist in the Crib,"Alison Gopnik, Andrew N. Meltzoff, and Patricia Kuhl",Steve Jurvetson,404
Out of Control,Kevin Kelly,Steve Jurvetson,404
The Age of Spiritual Machines,Ray Kurzweil,Steve Jurvetson,404
The Road Less Traveled,M. Scott Peck,Tony Fadell,403
Getting to Yes,Roger Fisher & William Ury,Tony Fadell,403
Who Moved My Cheese?,Dr. Spencer Johnson,Tony Fadell,403
In Praise of Shadows,Junichiro Tanizaki,Tony Fadell,403
"Thinking, Fast and Slow",Daniel Kahneman,Tony Fadell,403
The Gift,Lewis Hyde,Seth Godin,402
The Pursuit of Wow!,Tom Peters,Seth Godin,402
In Search of Excellence,Tom Peters & Robert Waterman,Seth Godin,402
The Long Tail,Chris Anderson,Seth Godin,402
Crossing the Chasm,Geoffrey A. Moore,Seth Godin,402
Thinking in Bets,Annie Duke,Seth Godin,402
What to Do When it's Your Turn,Seth Godin,Seth Godin,402
The Blue Sweater,Jacqueline Novogratz,Seth Godin,402
Nonviolent Communication,Marshall Rosenberg,Esther Perel,402
Fighting for Your Marriage,"Howard J. Markman, Scott M. Stanley, Susan L. Blumberg",Esther Perel,402
Can Love Last?,Stephen A. Mitchell,Esther Perel,402
Liquid Life,Zygmunt Bauman,Esther Perel,402
Family Healing,Salvador Minuchin,Esther Perel,402
The ONE Thing,Gary Keller,Gary Keller,401
The Millionaire Real Estate Agent,Gary Keller,Gary Keller,401
The Millionaire Real Estate Investor,Gary Keller,Gary Keller,401
Shift,Gary Keller,Gary Keller,401
McDonald's: Behind The Arches,John F. Love,Gary Keller,401
