uuid,book,author,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
aud:7c059ca1-71ef-4100-9011-9e6326f05475,Brave New World,['Aldous Huxley'],brave new world,,aldous,,huxley,,,
aud:9b25e482-95ac-43eb-aa1c-8bb9c728c3a9,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,['Bren Brown'],braving the wilderness,the quest for true belonging and the courage to stand alone,bren,,brown,,,
aud:acd025a0-59a0-474f-89fc-4016cb97d150,Capital in the Twenty-First Century,['Thomas Piketty'],capital in the twentyfirst century,,thomas,,piketty,,,
aud:dce04c0e-e083-4618-a5b8-c10d74ecf8d5,Captivate: The Science of Succeeding with People,['Vanessa Van Edwards'],captivate,the science of succeeding with people,vanessa,,van edwards,,,
aud:c636c6d7-46bf-443e-938a-f1ff25344192,Chaos: Making a New Science,['James Gleick'],chaos,making a new science,james,,gleick,,,
aud:d3ea81b3-9836-4766-9db5-327866f60d05,"Crushing It!: How Great Entrepreneurs Build Their Business and Influenceand How You Can, Too",['Gary Vaynerchuk'],crushing it,how great entrepreneurs build their business and influenceand how you can too,gary,,vaynerchuk,,,
aud:4ab15c07-7c62-4e56-8153-31f78e5158c6,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,['Bren Brown'],dare to lead,brave work tough conversations whole hearts,bren,,brown,,,
aud:71f842a1-0af2-49e7-bc01-f5e24c7a12eb,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",['Malcolm Gladwell'],david and goliath,underdogs misfits and the art of battling giants,malcolm,,gladwell,,,
aud:8d0a1ff8-06c1-4b8a-a88c-ea853140a006,Dreams from My Father: A Story of Race and Inheritance,['Barack Obama'],dreams from my father,a story of race and inheritance,barack,,obama,,,
aud:a7c1568f-abf1-4b8d-a0e1-b8ea6285c72b,Ego Is the Enemy,['Ryan Holiday'],ego is the enemy,,ryan,,holiday,,,
aud:efe15857-5b7c-4315-9f1a-8b482be58d60,Emotional Intelligence,['Daniel Coleman'],emotional intelligence,,daniel,,coleman,,,
aud:37bf50c6-d23f-4dd2-ad26-b533025bcc06,Essentialism: The Disciplined Pursuit of Less,['Greg McKeown'],essentialism,the disciplined pursuit of less,greg,,mckeown,,,
aud:3f3f9160-99d4-4899-8f50-294012790222,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",['Seth Stephens-Davidowitz'],everybody lies,big data new data and what the internet can tell us about who we really are,seth,,stephensdavidowitz,,,
aud:52df5603-688a-4251-b4d2-f3f9915b24e9,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,['Simon Sinek'],find your why,a practical guide to discovering purpose for you and your team,simon,,sinek,,,
aud:8285637d-4aa5-4eba-aca7-8b0c7ff9523d,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",['Steven D. Levitt'],freakonomics,a rogue economist explores the hidden side of everything freakonomics 1,steven,d,levitt,,,
aud:cce20b33-bcb9-4214-8916-5f994e284d37,"Games People Play: Game Theory in Life, Business, and Beyond",['Scott P. Stevens'],games people play,game theory in life business and beyond,scott,p,stevens,,,
aud:bf029053-b066-49a8-8ab8-265e416a5d12,Hackers: Heroes of the Computer Revolution,['Steven Levy'],hackers,heroes of the computer revolution,steven,,levy,,,
aud:a41a0065-fb04-4148-bbe3-ff18a548c6b8,Happy: Why More or Less Everything is Absolutely Fine,['Derren Brown'],happy,why more or less everything is absolutely fine,derren,,brown,,,
aud:30d21d53-327a-4480-a3a2-f992917591a4,How Google Works,['Eric Schmidt'],how google works,,eric,,schmidt,,,
aud:b9299874-2c44-4033-a946-70bdf5afb7b4,How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,['Massimo Pigliucci'],how to be a stoic,using ancient philosophy to live a modern life,massimo,,pigliucci,,,
aud:a46d3063-b3d5-40d6-8dfe-a667bac5e845,Inside the Middle East: Making Sense of the Most Dangerous and Complicated Region on Earth,['Avi Melamed'],inside the middle east,making sense of the most dangerous and complicated region on earth,avi,,melamed,,,
aud:eb4bade2-d1a6-4663-98c2-a0113edd9c7b,Leaders Eat Last,['Simon Sinek'],leaders eat last,,simon,,sinek,,,
aud:2e4b2fd7-09aa-42a3-a9c6-26ca57a69868,Leaders: Myth and Reality,['Stanley McChrystal'],leaders,myth and reality,stanley,,mcchrystal,,,
aud:5a59a1fc-c502-48c0-8917-547438a49cef,Life 3.0: Being Human in the Age of Artificial Intelligence,['Max Tegmark'],life 30,being human in the age of artificial intelligence,max,,tegmark,,,
aud:0641d604-bcb5-4933-99b1-b92397a0ffa3,Man's Search for Meaning,['Viktor E. Frankl'],mans search for meaning,,viktor,e,frankl,,,
aud:3219f251-7d11-48d2-be54-2d0ed106e1c4,Maps of Meaning: The Architecture of Belief,['Jordan B. Peterson'],maps of meaning,the architecture of belief,jordan,b,peterson,,,
aud:505268bd-1442-4ba0-8bc6-f7cffed1fd1e,Measure What Matters,['John Doerr'],measure what matters,,john,,doerr,,,
aud:abbf2892-905a-463b-90a5-fece72fd5675,Meditation for Fidgety Skeptics: A 10% Happier How-to Book,['Dan Harris'],meditation for fidgety skeptics,a 10 happier howto book,dan,,harris,,,
aud:35a10dd5-6b1a-4ff4-ba08-4df24b2284fb,Money and Power: How Goldman Sachs Came to Rule the World,['William D. Cohan'],money and power,how goldman sachs came to rule the world,william,d,cohan,,,
aud:e918d405-e865-4e4f-9695-dbfc55d2957b,Originals: How Non-Conformists Move the World,['Adam M. Grant'],originals,how nonconformists move the world,adam,m,grant,,,
aud:e114dfa8-8024-44b7-bab7-8e8e2bf791a2,Outliers: The Story of Success,['Malcolm Gladwell'],outliers,the story of success,malcolm,,gladwell,,,
aud:3cb907cd-5520-42ec-8b7b-97624c9e5229,"Outrage, Inc.: How the Liberal Mob Ruined Science, Journalism, and Hollywood",['Derek Hunter'],outrage inc,how the liberal mob ruined science journalism and hollywood,derek,,hunter,,,
aud:80360dc0-a4e2-432c-9b41-6431476072ed,Payoff: The Hidden Logic That Shapes Our Motivations,['Dan Ariely'],payoff,the hidden logic that shapes our motivations,dan,,ariely,,,
aud:d08223da-4472-4933-b10e-5153881bf120,Predictably Irrational: The Hidden Forces That Shape Our Decisions,['Dan Ariely'],predictably irrational,the hidden forces that shape our decisions,dan,,ariely,,,
aud:0b7f6b99-4cb3-4958-a42b-d2e52000b1bb,Principles: Life and Work,['Ray Dalio'],principles,life and work,ray,,dalio,,,
aud:196ca5b8-ed6c-4ffc-ba42-374e5d66da0a,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,['Kim Malone Scott'],radical candor,be a kickass boss without losing your humanity,kim,malone,scott,,,
aud:1d91b07f-300a-42a4-9fcb-1776756fad62,Robin,['Dave Itzkoff'],robin,,dave,,itzkoff,,,
aud:dcd0ffe2-5257-4986-a395-54f593f32600,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",['Geoffrey West'],scale,the universal laws of growth innovation sustainability and the pace of life in organisms cities economies and companies,geoffrey,,west,,,
aud:a0ec6e2c-cba4-4a4c-88f7-aa97475dbe77,Science in the Soul: Selected Writings of a Passionate Rationalist,['Richard Dawkins'],science in the soul,selected writings of a passionate rationalist,richard,,dawkins,,,
aud:d3ce35dd-1b2f-4f47-aa74-c2fe3ddf79e5,Scrum: The Art of Doing Twice the Work in Half the Time,['Jeff Sutherland'],scrum,the art of doing twice the work in half the time,jeff,,sutherland,,,
aud:a8f39034-ba01-47ba-92b0-148572955005,Skin in the Game: The Hidden Asymmetries in Daily Life,['Nassim Nicholas Taleb'],skin in the game,the hidden asymmetries in daily life,nassim,nicholas,taleb,,,
aud:1c01aa24-0568-4a04-9354-369cde4130da,Smarter Faster Better: The Secrets of Being Productive in Life and Business,['Charles Duhigg'],smarter faster better,the secrets of being productive in life and business,charles,,duhigg,,,
aud:ce5d82a7-e5d7-4550-a15c-00e846d43eb5,Start with Why: How Great Leaders Inspire Everyone to Take Action,['Simon Sinek'],start with why,how great leaders inspire everyone to take action,simon,,sinek,,,
aud:1a244917-75c0-4089-bd7b-03814e17da66,Stoicism: A Stoic Approach To Modern Life,['Tom Miles'],stoicism,a stoic approach to modern life,tom,,miles,,,
aud:450a7a26-596f-4707-877d-9fcb0808d49e,Stoicism: The Philosophy Of Calmness,['George Muntau'],stoicism,the philosophy of calmness,george,,muntau,,,
aud:1970f1a2-a01f-4a7f-bb29-0f27fb57f78f,Success Through Stillness: Meditation Made Simple,['Russell Simmons'],success through stillness,meditation made simple,russell,,simmons,,,
aud:1973ae14-61c8-49a6-b112-3eff4e1ad2a9,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",['Steven D. Levitt'],superfreakonomics,global cooling patriotic prostitutes and why suicide bombers should buy life insurance,steven,d,levitt,,,
aud:7b8488a3-7131-4afa-a111-2e7eafe79f10,Switch: How to Change Things When Change Is Hard,['Chip Heath'],switch,how to change things when change is hard,chip,,heath,,,
aud:3c72c9b0-f881-4355-b530-26e6e0366ba2,The 10x Rule: The Only Difference Between Success and Failure,['Grant Cardone'],the 10x rule,the only difference between success and failure,grant,,cardone,,,
aud:160baf5c-bb7a-46e3-a0d6-173ec4db9884,The 4-Hour Workweek,['Timothy Ferriss'],the 4hour workweek,,timothy,,ferriss,,,
aud:6916555c-751b-4f62-9ee8-217c2100c187,The 48 Laws of Power,['Robert Greene'],the 48 laws of power,,robert,,greene,,,
aud:892ae1ea-e5ae-49cf-8400-6ca0978435b8,The 5 Elements of Effective Thinking,['Edward B. Burger'],the 5 elements of effective thinking,,edward,b,burger,,,
aud:c05e1367-18b6-4806-9b7f-d81182e0b53f,The 7 Habits of Highly Effective People,['Stephen R Covey'],the 7 habits of highly effective people,,stephen,r,covey,,,
aud:261b30a8-5ff3-4b68-9c6d-b44ec8bfd402,The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,['Michael Booth'],the almost nearly perfect people,behind the myth of the scandinavian utopia,michael,,booth,,,
aud:44eea104-1273-4383-a7c5-dbb9b4bb862c,"The Awakened Ape: A Biohacker's Guide to Evolutionary Fitness, Natural Ecstasy, and Stress-Free Living",['Jevan Pradas'],the awakened ape,a biohackers guide to evolutionary fitness natural ecstasy and stressfree living,jevan,,pradas,,,
aud:f4a73c9f-a338-43ef-b2b4-9d1caaa138ec,The Black Swan: The Impact of the Highly Improbable,['Nassim Nicholas Taleb'],the black swan,the impact of the highly improbable,nassim,nicholas,taleb,,,
aud:bac81922-0e74-4059-988a-afdd9e81318f,The Book of Joy: Lasting Happiness in a Changing World,['Dalai Lama XIV'],the book of joy,lasting happiness in a changing world,dalai,lama,xiv,,,
aud:b8b47c64-0b92-4665-a66d-965a39d936a4,The Checklist Manifesto: How to Get Things Right,['Atul Gawande'],the checklist manifesto,how to get things right,atul,,gawande,,,
aud:cf45e7a1-5872-4fa0-95ae-b7151c40dae2,"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",['Steve Peters'],the chimp paradox,the acclaimed mind management programme to help you achieve success confidence and happiness,steve,,peters,,,
aud:7bc002fb-bad6-4181-8438-ef13b0ff90eb,The Consolations of Philosophy,['Alain de Botton'],the consolations of philosophy,,alain,,de botton,,,
aud:b59250f8-0cda-4113-9d82-35b77e0f4e6e,The Effective Executive: The Definitive Guide to Getting the Right Things Done,['Peter F. Drucker'],the effective executive,the definitive guide to getting the right things done,peter,f,drucker,,,
aud:ade99d98-be42-438e-9e55-7f7f8250f614,The Elephant in the Brain,['Kevin Simler'],the elephant in the brain,,kevin,,simler,,,
aud:d5ed8be9-ba09-46d8-a09f-a9515ab903fc,The Everything Store: Jeff Bezos and the Age of Amazon,['Brad Stone'],the everything store,jeff bezos and the age of amazon,brad,,stone,,,
aud:914c285c-8cbb-4371-97ed-be89e37608f4,The Five Dysfunctions of a Team: A Leadership Fable,['Patrick Lencioni'],the five dysfunctions of a team,a leadership fable,patrick,,lencioni,,,
aud:fd6524a2-be36-49ab-ab40-b4e206d4ba99,"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",['Scott Galloway'],the four,the hidden dna of amazon apple facebook and google,scott,,galloway,,,
aud:d6d8d93c-aa49-4aca-af3f-b139b4577c26,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,['Bren Brown'],the gifts of imperfection,let go of who you think youre supposed to be and embrace who you are,bren,,brown,,,
aud:e23bd878-3eb6-44bb-870a-56d5854c6720,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,['Jonathan Haidt'],the happiness hypothesis,finding modern truth in ancient wisdom,jonathan,,haidt,,,
aud:613e9b85-8d19-41ff-909f-e957b443db7a,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,['Ben Horowitz'],the hard thing about hard things,building a business when there are no easy answers,ben,,horowitz,,,
aud:bff0e8ba-11c3-4b38-b06e-81896f841a49,The Hero With a Thousand Faces,['Joseph Campbell'],the hero with a thousand faces,,joseph,,campbell,,,
aud:2f04e1be-8a01-4185-9fe0-9f498de2eec3,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,['Clayton M. Christensen'],the innovators dilemma,the revolutionary book that will change the way you do business,clayton,m,christensen,,,
aud:7d119196-126f-4a1c-be18-5d03edb0bf09,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",['Walter Isaacson'],the innovators,how a group of hackers geniuses and geeks created the digital revolution,walter,,isaacson,,,
aud:a16a7638-d7c5-4ec9-aeaf-7da5ca96dc29,The Laws of Human Nature,['Robert Greene'],the laws of human nature,,robert,,greene,,,
aud:4ebf4556-c274-4ebf-aff9-7d6a246f7620,The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,['John C. Bogle'],the little book of common sense investing,the only way to guarantee your fair share of stock market returns,john,c,bogle,,,
aud:fd2d0370-e961-42a8-835e-8dc975697a69,The Lost City of the Monkey God,['Douglas Preston'],the lost city of the monkey god,,douglas,,preston,,,
aud:ecd4f63c-95ff-49e2-af78-7430aaeda9cb,The Millionaire Mind,['Thomas J. Stanley'],the millionaire mind,,thomas,j,stanley,,,
aud:70866602-8d30-4957-9258-3a11f50a9c4d,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,['Ryan Holiday'],the obstacle is the way,the timeless art of turning trials into triumph,ryan,,holiday,,,
aud:3216f5e9-e040-4c55-a3ee-aea36f41cacf,"The Power of Vulnerability: Teachings of Authenticity, Connections and Courage",['Bren Brown'],the power of vulnerability,teachings of authenticity connections and courage,bren,,brown,,,
aud:3abbfba7-f8e8-45f1-afae-dde4b9c34b3c,"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",['Chris Bailey'],the productivity project,accomplishing more by managing your time attention and energy,chris,,bailey,,,
aud:18e5205e-4bbf-4878-a080-21b81a546b4b,The Quiet Rise of Introverts: The 8 Practices for Loving and Living in a Noisy World,['Brenda Knowles'],the quiet rise of introverts,the 8 practices for loving and living in a noisy world,brenda,,knowles,,,
aud:35d385d9-e125-4c26-809d-82e48c580929,The Secret Lives of Introverts: Inside Our Hidden World,['Jenn Granneman'],the secret lives of introverts,inside our hidden world,jenn,,granneman,,,
aud:7929a64d-8c1f-4987-8c71-3c955e682e15,The Selfish Gene,['Richard Dawkins'],the selfish gene,,richard,,dawkins,,,
aud:21cb3afc-07d4-441b-8da5-486e62e91f47,The Tipping Point: How Little Things Can Make a Big Difference,['Malcolm Gladwell'],the tipping point,how little things can make a big difference,malcolm,,gladwell,,,
aud:bf3dea6c-8d14-436b-a428-0a906fba6ffd,The Truth: An Uncomfortable Book About Relationships,['Neil Strauss'],the truth,an uncomfortable book about relationships,neil,,strauss,,,
aud:4ac0b5f8-869a-4f9d-b54e-7f45068e1332,The Universe in a Nutshell,['Stephen Hawking'],the universe in a nutshell,,stephen,,hawking,,,
aud:8615f86a-60ef-4182-b524-754e043a9059,Think Like a Freak,['Steven D. Levitt'],think like a freak,,steven,d,levitt,,,
aud:61d39e3e-ff59-4ae2-ac30-acec5faef008,Think and Grow Rich,['Napoleon Hill'],think and grow rich,,napoleon,,hill,,,
aud:1c626f11-040e-40db-9e9f-ca9e8b3ac96a,Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens,['Nicholas Shaxson'],treasure islands,uncovering the damage of offshore banking and tax havens,nicholas,,shaxson,,,
aud:002f156c-1b6b-44a7-a550-989e1d490024,Tribes: We Need You to Lead Us,['Seth Godin'],tribes,we need you to lead us,seth,,godin,,,
aud:09f0cb48-666a-4bc2-971b-fc14213f47de,Unlimited Power: The New Science Of Personal Achievement,['Anthony Robbins'],unlimited power,the new science of personal achievement,anthony,,robbins,,,
aud:5e76f8fe-44ee-49c7-b0d7-2490a7744b21,Waking Up: A Guide to Spirituality Without Religion,['Sam Harris'],waking up,a guide to spirituality without religion,sam,,harris,,,
aud:509fb5a8-f466-49ca-99db-70bb06d07cfc,What the Dog Saw and Other Adventures,['Malcolm Gladwell'],what the dog saw and other adventures,,malcolm,,gladwell,,,
aud:77b0713d-26db-40ec-8474-4a612ae64708,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",['Daron Acemolu'],why nations fail,the origins of power prosperity and poverty,daron,,acemolu,,,
aud:925f99a5-e662-4ea7-a72a-b219280b273b,Why We Sleep: Unlocking the Power of Sleep and Dreams,['Matthew Walker'],why we sleep,unlocking the power of sleep and dreams,matthew,,walker,,,
aud:969864f2-b9eb-4b79-a5c8-11e4e4fa6d3f,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,['Laszlo Bock'],work rules,insights from inside google that will transform how you live and lead,laszlo,,bock,,,
aud:0d4d79eb-93e1-4e7b-98a6-fa0fb01f1cad,World Without Mind: The Existential Threat of Big Tech,['Franklin Foer'],world without mind,the existential threat of big tech,franklin,,foer,,,
